code,name,tradition,period,key_source,cooccurs_with,cooccurrence_basis
mudaraba,Mudaraba,Islamic,7c onward,"NOT CODED HERE, AND THIS IS A DETERMINATION RATHER THAN AN OMISSION - the same disposition as ortoq_alloc in loss_mitigation_type.csv. Mudarabah is the HANAFI name for the institution coded in this dataset as 'qirad'. Ramli 2018, 97 on al-Sarakhsi's Kitab al-Mudarabah: al-Sarakhsi treats muqaradah as synonymous with mudarabah, 'the Malikites, Shafi'ites and Hanbalites unanimously use a different term i.e. qirad to denote such an activity', and 'in general, be it mudarabah, or muqaradah or qirad, it is by definition a commercial association whereby an investor or capital provider (rabb al-mal) entrusts some amount of capital to an agent... who trades with it and shares with the investor a pre-determined proportion of the profits'. Coding both rows would enter one institution twice and manufacture agreement between them on every cell. FALSIFICATION CONDITION, so this is not a permanent verdict. The schools are not known to diverge on any of the 32 characteristics, but one candidate is live and unverified: the vault note [[The mudaraba is revocable not locked in]] records that classical fiqh predominantly classifies the contract as an 'aqd ja'iz (revocable) while 'Maliki jurists restrict revocation once the agent has commenced work', flagged there as needing verification against fiqh sources. If that holds, mudarabah (Hanafi) and qirad (Maliki) separate on TS3 revocability - a WP2 capital-lock-in question, not a trivial one - and mudaraba earns a row. Note that qirad's own TS3 is currently uncoded, so the test cannot be run from what is in the matrix; it needs a Maliki source, which the library does not hold. Coded 2026-08-18; see logbook 2 and logbook 4 for that date.",qirad,same-institution
isqa,ʿIsqa,Jewish (Babylonian rabbinic),4c onward,BT Bava Metzia 104b; Udovitch 1962; Gamoran 2008; vault: isqa notes,.NR,.NR
qirad,Qirad,Islamic (Maliki),7c onward,"vault: qirad notes. Ramli 2018, 95-98 and 105 (al-Sarakhsi, al-Mabsut 22) for the Hanafi statement of the same institution. NAME: qirad is the Maliki, Shafi'i and Hanbali term and mudarabah the Hanafi one for one institution (Ramli 2018, 97); the mudaraba type row is deliberately left uncoded on that ground - see its key_source. Loss-allocation aspect coded separately as qirad_alloc in loss_mitigation_forms, where it is identical to commenda_alloc in every cell. NOT HELD WITH TEXT and wanted: Udovitch 1970 (Zotero RPV4XSBG is a linked-URL stub). ENTITY QUESTIONS ASKED 2026-08-30 AND THE ROW STAYS THIN, WHICH IS THE RIGHT RESULT: of the ten, one closes (LP2=0, low - Ramli 95 on muqaradah, the sahib al-mal 'sets aside a certain portion of HIS capital', and 101, the mudarib 'deemed as a trustee, just like a depositor (al-muwaddi)'), AP4 is .NA on the no-founder disposition, and the other eight are .NR. LP2 RESTS ON THE SAME SENTENCE AS loss_mitigation_forms qirad_alloc RB3=none - one piece of evidence in two datasets, not two confirmations. CITATION CORRECTION 2026-08-30: the amana/wakil/daminan passage is on PRINTED PAGE 101, NOT 105. TAFHIM 11 (2018) runs printed 79-111 in a 33-page PDF, so printed = PDF + 78; printed 105 (PDF 27) is the Conclusion and contains none of it. The quoted text is verbatim correct. AP3 and LR1 on this row, and qirad_alloc RB3 in the other dataset, all cite 105 and should be corrected. NOT CONSULTED AND SHOULD BE: the vault note quoted at TS2, 'The mudaraba is revocable not locked in', would close CI2 (to 0) and bear on AP2; only HistorEE_codebooks was granted for that pass, so ~/GitHub/myfoamrepo was not read.",mudaraba;commenda;qirad_alloc@loss_mitigation_forms,same-institution
ortoq,Ortoq,Mongol / Inner Asian,13-14c,"vault: The ortoq is the discriminating instrument. UMBRELLA ROW, NOT CODED — split into ortoq_equity and ortoq_loan on Enkhbold 2019; the type spans both values of AP3, CF2, LR1 and LR6.",.NR,.NR
fraterna,Fraterna,Venetian,12-15c,"SCOPE, WRITTEN 2026-08-31 PER LOGBOOK 2 OF THAT DATE, BECAUSE THE SOURCES USE THE WORDS LOOSELY AND THE ROW MUST FIX ITS OWN REFERENT: the Venetian undivided fraternal patrimony - co-heir brothers declining to partition the paternal estate, which continues as a trading unit. Membership is co-heirship. NOT any Italian family partnership generally, and NOT the Venetian compa(g)nia, which in Venetian usage means a short-term joint venture (Ryabova 2019, 231) and is a different thing again from the Tuscan compagnia of the other row.
CODED 2026-08-31 by ai from the vault-blind bundle; unreviewed. 32 cells: 14 substantive, 16 .NR, 2 .NA.
SOURCES ACTUALLY CODED FROM, replacing the previous 'vault: fraterna/compagnia note' (the note is withheld and was not read): Lane 1944 (JEH 4:2, 10.1017/S0022050700081304, printed 178-196, READ IN FULL) for formation, capital and the household character; Ryabova 2019 (10.36253/978-88-6453-857-0.13, printed 229-253) for the definition, equal shares, equal administrative powers and the division procedure; Ryabova 2018 (10.2308/AAHJ-10580) for the Soranzo capital account; Gonzalez de Lara 2011 (10.1057/9780230116665_5, printed 108-109) for formation without formal contracts and for the Venetian rule on a father's debts; Morche 2020 (10.11588/heidok.00027656, NO MEASURED PAGE OFFSET - cited by PDF page) for common ownership of the inheritance and the exclusion of female heirs.
THE ROW IS THIN AT THE BARRIER AND THAT IS A FACT ABOUT THE LITERATURE, NOT A CODING FAILURE. AP1, AP3, LR1, LP1, LP2, LP3, CI3 and CI4 are all .NR. Lane's nineteen pages use 'fraterna' on eight, 'liabilit*' on two, and 'unlimited' on none; Ryabova 2018 and 2019 together use 'creditor' three times and 'third part*' never. Nothing held asks whether fraterna creditors were prior to a brother's personal creditors, or whether a brother's estate answered to the fraterna's creditors.
PROHIBITION CARRIED FROM LOGBOOK 2, 2026-08-31: this row and compagnia may not be treated as two independent cases on any entity-shielding component until they take different values there. They currently take the same value on exactly one, AP2=0, and that agreement was PREDICTED by the withheld vault note before any evidence was gathered - it is recorded and must not be used. The two 0s also rest on unrelated mechanisms (a co-heir's right to demand division here; cross-infection of bankruptcy there), so they are not two witnesses to one fact.
ONE DATUM, THREE CELLS: AP2=0, CI2=0 and TS3=1 all rest on the division procedure. The capital-immobility group is collinear on this row by construction.
PERIOD FLAGGED AND NOT CHANGED, as logbook 2 left it. The row reads 12-15c. Gonzalez de Lara printed 109 has the fraterna 'of little importance until the mid thirteenth century'; against that, LANE'S ARTICLE - the row's principal source - IS LARGELY SIXTEENTH-CENTURY, its Pisani case running to the brothers' deaths c.1528, and Ryabova's Soranzo material is 1406-1434. THE CODED CELLS THEREFORE REST ON EVIDENCE THAT STRADDLES AND OVERRUNS THE STATED PERIOD AT THE LATE END. Press both against Lane 1944b, Andrea Barbarigo, Merchant of Venice, before amending.
WANTED, AND THE ROW WOULD CHANGE IF THEY ARRIVE: Lane 1944b Andrea Barbarigo (cited by Ryabova 2018 at printed 202-205 for this very fraterna and NOT in the library); Pertile, Storia del diritto italiano III, 274-284, which both Lane and Morche name as the standard legal account; Fumagalli, Il diritto di fraterna (1912). Any of them may close LR1 and AP1.",.NR,.NR
asiento_averia,Asiento de avería company,Spanish,17c,vault: asiento notes,.NR,.NR
bazacle_mill,Bazacle milling company (pariage),Occitan / Toulouse,12c-1946,"Sicard 1953/2015; Le Bris, Goetzmann & Pouget 2023; Débax 2012",.NR,.NR
piaohao,Piaohao (Shanxi bank),Chinese,19c,.NR,.NR,.NR
ton_ya,Ton'ya / toiya,Japanese,14c onward,.NR,.NR,.NR
nakai_fictive_household,Fictive household entity (Nakai Genzaemon),Japanese / Tokugawa,1749-1868,"D'Amico 2026 (Enterprise & Society, 10.1017/eso.2026.10131), from the Nakai Genzaemon archive; Egashira, Ōmi shōnin Nakai-ke no kenkyū. First Japanese form in this dataset.",.NR,.NR
ortoq_equity,Ortoq — equity regime (capital entrusted),Mongol / Inner Asian,13c (not periodised),"Enkhbold 2019 (Central Asian Survey 38:4, 10.1080/02634937.2019.1652799), 542-543, from Juvayni, Rashid al-Din and Vassaf. SPLIT from the generic 'ortoq' row: the type spans both values of AP3, CF2, LR1 and LR6, which one row cannot hold. Principal bears losses capped at his investment, agent bears none — the qirad/commenda configuration. NOT A PHASE: Enkhbold has loan financing adopted 'when Ogedei and Mongke ruled', i.e. contemporaneous with the equity examples from Ogedei's own reign, so equity and loan are COEXISTING CONTRACT TYPES whose relative prevalence shifted, not a sequence. Dates deliberately left unperiodised. NOT AN INDEPENDENT OBSERVATION from ortoq_loan — one institution, two contract forms; organizational_form_type.csv has no cooccurs_with column in which to say so.",ortoq_loan,same-institution
ortoq_loan,Ortoq — loan regime (capital advanced at interest),Mongol / Yuan and Il-khanid,"13c-14c, prevalent from late 13c","Enkhbold 2019, 543-544, on Allsen 1989 and Otagi 1973. The second half of the split: ortoqs 'completely liable for the loans they took, which extended beyond partnership capital to their private properties'; guarantors unconditionally bound; on default, seizure and then enslavement of the defaulter and his family (Rashid al-Din 1998, 726). The isqa configuration. Attested from Ogedei's and Mongke's reigns and 'eventually became prevalent... by the end of the thirteenth century'. Enkhbold's stated cause for the shift in prevalence: the government spent 76,000 ding of silver in 1240 bailing out ortoqs, and 'the huge losses suffered by Mongol elites motivated Mongol authorities to shift towards a risk-transfer model'. NOT AN INDEPENDENT OBSERVATION from ortoq_equity.",ortoq_equity,same-institution
hegu_yingu,合股 — silver share 銀股 (capital share in a Chinese partnership),Chinese,16c-1949,"Zelin 2019 (Law and History Review 37:2, 10.1017/S073824801800038X), 337-350. SHARE CLASS, NOT FIRM: a single Qing partnership issued silver, body and dry shares simultaneously and they differ on CI3, AP3 and LR3, so the class is the coding unit. Entity-level characteristics (TS1, TS2, CI1, CI2, MG4) are coded HERE, on the partnership itself.",hegu_shengu;hegu_gangu;gugu_death_share,same-institution
hegu_shengu,"身股 — body share (labour share, non-inheritable)",Chinese,18c-20c,"Zelin 2019, 345-346, citing Qingbai leichao and Morck & Yang on the Rishengchang bank. Dividends without equity; extinguishes at death into a term-limited 孤股. Coded WP2 and NOT as a pension: no fund, no contribution, no hazard — maintainer decision 2026-08-12.",hegu_yingu;gugu_death_share,same-institution
hegu_gangu,"乾股 — dry share (contributed land, no loss liability)",Chinese,19c,"Zelin 2019, 346. PARKED, NOT CODED. Holders at the Ruifeng ironworks outside Chongqing contributed the land on which the mine sat, took a proportional share of profits and were not held liable for losses — dormant-partner characteristics. One instance only; code when a second turns up.",hegu_yingu;hegu_shengu,same-institution
gugu_death_share,孤股 — death share (term-limited posthumous claim),Chinese,19c-20c [verify],"Zelin 2019, 346, via Morck & Yang. PARKED, NOT CODED. Kin of a deceased body-shareholder received a term-limited claim. Structurally life-contingent and comparable to widows_fund_scotland, but the only example is from the 1940s and Zelin flags that we do not know whether death shares were a product of foreign influence. Acquire Morck & Yang before coding.",hegu_shengu,same-institution
kabu_local,株 — local-market share (kabu nakama stock society),Japanese,1660-1841,"Nagata 2008 (International Review of Social History 53:S16, 10.1017/S0020859008003635), 132-136. One share is a licence to operate one shop, mill or scale; the certificate for brewing stock was a wooden tag. The movement of shares outside the geographical region defined by the society was prohibited.",kabu_edo_export,same-institution
kabu_edo_export,株 — Edo export share (sake shipped to the Edo market),Japanese,17c-19c,"Nagata 2008, 135. SPLIT from kabu_local: priced separately, and unlike the local shares these could be sold or traded outside the region or market of the original licence. Coded thinly; its value is the CI3 contrast.",kabu_local,same-institution
shenhui_gu,神會股 — share in a corporate deity association,"Chinese / Shanyin, Shanxi",mid-19c,"Zelin 2019, 335-336, from Zhang, Annotated Compilation. Donors received shares commensurate with their endowment; rents fund ritual banquets and surplus is distributed to shareholders; shares sold irrevocably or on 典 dian redemption. Coded in BOTH censuses — see shenhui_gu_alloc@loss_mitigation_forms.",shenhui_gu_alloc@loss_mitigation_forms,same-institution
casa_san_giorgio,Casa di San Giorgio (Genoa),Genoese,1407-1805,Taviani 2022; Felloni 2010; Miner 2020; Rohan 2025,maona_corsica;voc_1602;voc_1612;voc_1623,uncertain
maona_corsica,Maona di Corsica,Genoese,1378-1407,"Petti Balbi 1981; Taviani 2022, 27-30 for the Chios contracts only. NOT THE SAME FORM AS THE CHIOS MAONA, which separates on CI3 and is separately codeable: Corsica permits transfer 'solo tra i partecipi o loro congiunti' (Petti Balbi 162), Chios permits sale 'to anyone they want' (Taviani 30).",casa_san_giorgio;maona_chios,same-polity
voc_1602,VOC (first charter form),Dutch,1602-1611,"SPLIT FROM voc 2026-08-29, three ways, on the standing rule that a type spanning both values of a characteristic must be split. Separates from voc_1612 on TS2 (fixed-term) and CI2 (P): capital revolving in three separate accounts, wound up at the 1612 reckoning, article 7 giving each shareholder his money back then. Separates from voc_1623 on AP3, LR1, CF1 and CF2. Dari-Mattiacci et al. 2013; Gelderblom, de Jong & Jonker 2010, 16.",voc_1612;voc_1623,same-institution
voc_1612,VOC (permanent capital),Dutch,1612-1622,"SPLIT FROM voc 2026-08-29. The 1612 reckoning was not held and capital became permanent; separates from voc_1602 on TS2 and CI2. Directors still bore personal liability for company debt, so it separates from voc_1623 on AP3, LR1, CF1 and CF2. Gelderblom, de Jong & Jonker 2013, 1051, 1055, 1063.",voc_1602;voc_1623,same-institution
voc_1623,VOC (mature chartered form),Dutch,1623-1799,"SPLIT FROM voc 2026-08-29. Directors unilaterally rejected personal liability for company debt in 1623, by contractual choice with no statutory intervention, later upheld in court; the two member classes converge and CF1 becomes 0. Gelderblom, de Jong & Jonker 2013, 1051, 1063; Dari-Mattiacci et al. 2013.",voc_1602;voc_1612,same-institution
maona_chios,Maona di Chio (New Maona),Genoese,1362-1566,"Taviani 2022, 26-30 (Table 1.1, ADICO coding of the constitutive texts of the Maona Vecchia and Nuova), 77, 85; Balletto 1990 (Chios notarial deeds of Donato di Chiavari, 1393-94), 141, 146. Balletto is INDEPENDENT of Taviani, who cites her only for a different article on Cyprus. The 1347 Old Maona is a separate constitution and is separately codeable: it differs from this row on TS2, MG3 and CI3.",maona_corsica;casa_san_giorgio,same-polity
