record_id,type_id,char_id,value,confidence,articulation,source_ref,source_lang,coder,source_read,reviewed_by,review_status,notes
OF-XXXX-11,chartered_corporation_england,TS4,P,medium,analyst-imposed,"Harris 2000, 19, 98, 99, 129, 206",en,ai,partial,none,unreviewed,"STRUCTURAL HALF, AND THE HALVES ARE RULES AGAINST PURPOSE. Rules: a corporation 'could make bylaws to govern its internal affairs' (19), and the 1766 acts 'specify the capital to be raised by each company, its structure, future calls, voting rights, assemblies and committees, bylaws, officers, and more' (98) - internal rule-making is an incident of incorporation. Purpose: fixed by the charter or act and alterable only by a further grant - the Grand Junction's larger and more complex managerial and financial structure came from its own act of 1793 (99), and alterations to the East India Company's affairs came by statute (Dividend Act 1767, Regulation Act 1772, India Act 1784, at 206). One limb present, one absent, within one arrangement: P, not heterogeneity. The bylaw power was bounded in a way that matters to AP3: calls could not be imposed on members 'based on bylaws or directors' decisions' unless the charter or act gave the power (129)."
OF-XXXX-12,chartered_corporation_england,CI1,common,high,analyst-imposed,"Harris 2000, 32-33, 25, 45",en,ai,partial,none,unreviewed,"COMMON. 'Unlike the regulated corporation, the joint-stock corporation traded in only one account. That meant that members shared not only overhead but all business activities of the corporation, that is, all profits and losses' (33). This is what distinguishes the joint-stock from the regulated corporation in Harris's own taxonomy, whose members 'traded in their own stock, taking risks and liabilities individually' (32) - a several-accounts arrangement in this vocabulary's terms. THE VALUE IS PERIOD-DEPENDENT AND IT IS RECORDED HERE BECAUSE IT BEARS ON THE ROW'S START DATE: before the 1620s the same corporations ran several-accounts capital - the Russia Company was reorganised in 1586 on 'short-term rather than perpetual capital organized in several separate accounts, each for a period of one to three years', and by 1622-1623 'the separate accounts were replaced by individual accounts' (45). A row starting at 1553 or 1600 would span two values of CI1. See the type row on period."
OF-XXXX-13,chartered_corporation_england,CI2,1,medium,analyst-imposed,"Harris 2000, 191-192, 25, 45, 52",en,ai,partial,none,unreviewed,"LOCKED IN, ON AN EXPRESS NEGATIVE COMPARISON. Of the cost book adventurer's exit right - 'to relinquish their interest upon written notice and withdraw their share in cash, whose value was usually left to arbitration' - Harris writes: 'This alternative was not available even in the joint-stock company' (191). SCOPE JUDGEMENT, REQUIRED BECAUSE 'joint-stock company' IS AMBIGUOUS IN THIS LITERATURE: the comparison set is fixed on the following page, where the cost book system is 'fundamentally different from the joint-stock corporation, from the common-law partnership, and from the unincorporated company' (192). The corporation is the intended term. Corroborated from the form's own history: the EIC's arrival at 'permanent and continuous capital', where 'only the profits were divided while the initial investment was retained by the company' (25), and the observation that the few joint-stock corporations formed after the Restoration 'were organized with permanent rather than ad hoc and dividable capital' (52). Exit is by SALE of the share, not by withdrawal of capital, which is why CI2 and CI3 are both 1. PERIOD-DEPENDENT: permanent stock 'turned out to be a problematic and undesirable feature for the early business corporations' and survived only in the EIC (45); a row starting before the 1680s would span. Confidence medium: one express sentence plus the capital history, with no clause quoted."
OF-XXXX-14,chartered_corporation_england,CI3,1,high,analyst-imposed,"Harris 2000, 33, 114, 117-118, 22",en,ai,partial,none,unreviewed,"TRANSFERABLE. 'while interests in the joint-stock corporation were relatively freely transferable, in the partnership they were not' (33); 'every joint-stock corporation was inherently allowed to open public subscriptions, within or outside of the Stock Exchange' (114); and in practice 'transfer of shares was a simple selling transaction, normally completed smoothly, between two interested parties, under the auspices of the corporation' (118). Harris's own hedge is carried and not exceeded - 'relatively freely' - but he holds the legal doubts about the nature of the share not to have posed 'a major threat to actual transferability', for three stated reasons (118). Transferable joint stock is one of the four features by which he defines the form (22, 110)."
OF-XXXX-15,chartered_corporation_england,CI4,P,medium,analyst-imposed,"Harris 2000, 117-118, 122-123, 33",en,ai,partial,none,unreviewed,"STRUCTURAL HALF, AND THE HALF IS A DEFECT IN THE LAW OF THE SHARE RATHER THAN IN PRACTICE. For: the share circulated on a public market, quoted in the Course of the Exchange, sold between strangers under the corporation's auspices (114, 118). Against: 'corporate shares, which began circulating during that century, were a phenomenon novel and strange to the law', and the questions of what kind of property they were 'were not considered directly, and certainly not in an abstract manner, by the courts until the 1820s' (117-118); on three occasions shares in land-dominated corporations 'were viewed as real estate', which 'could lead to low transferability'; and what preserved negotiability was not the general law but 'a standard clause in most incorporation acts declar[ing] shares to be personal property' (118). An interest whose depersonalisation rests on a drafting clause and an unlitigated silence, rather than on a settled legal character, is half-depersonalised. CI4 entails CI3, and P beside CI3=1 is consistent with that direction of entailment."
OF-XXXX-16,chartered_corporation_england,LR1,.NR,.NR,.NR,"Harris 2000, 128-130, 270-271, 265, 282, 285",en,ai,partial,none,unreviewed,"NOT RECORDED, ON THE SAME GROUND AS AP3 AND WITH ONE ADDITION SPECIFIC TO THIS VALUE SET. LR1's values are unlimited-joint | unlimited-several | limited | none. Harris lists among the questions whose unsettledness makes the period's 'limited liability' incoherent exactly the one this column asks: 'what was the relationship between shareholders as far as debts were concerned? Were shareholders held in debt together or separately; that is to say, could the entire debt of a corporation be collected from one shareholder, or was each shareholder responsible only for his or her proportional share in the total debt?' (129). He does not answer it, and concludes that 'All these questions indicate that there was no coherent, well-defined conception of limited liability in late seventeenth-century England'. Where liability was limited it was 'limited to the amount actually paid and, only if further calls were authorized, to the amount that could be called by the corporation' (130) - a cap set by the instrument, not by the form; and after 1825 a charter could expressly make members 'individually liable, in their persons and property' (270-271). Choosing any of the four values would assert a determinacy the source denies. LOCATOR: CF1=0 on this row, so the 2026-08-18 fallback returns the locator to members, who are alike and give the question one answer - which is the answer Harris says did not exist. THE .NR IS SUSTAINED TO THE ROW'S TERMINAL DATE AND BEYOND, WHICH IS WHY A LATE PHASE WOULD NOT RESCUE IT EITHER. Copley's repeal act of 1825 had exactly two operative clauses, the second 'empowering the King to grant charters without limited liability' (265). Gladstone in 1844 'removed the hotly disputed issue of limited liability from his agenda . . . and left the status quo in this matter untouched' (282). And after the act of 1844 every undertaking that complied 'could offer transferable shares and enjoy a separate legal entity and all the other privileges of incorporation, EXCEPT FOR LIMITED LIABILITY' (285); general limited liability arrives in 1855-1856, outside this row's period. The whole-text sweep behind this cell covered every page of the book containing 'liabilit' or 'liable' that could bear on a chartered entity."
OF-XXXX-17,chartered_corporation_england,LR2,.NR,.NR,.NR,"Harris 2000, 22 n 19, 23 n 20, 33, 129",en,ai,partial,none,unreviewed,"NOT RECORDED. LR2's locator is the decision-maker. Harris establishes that the corporation had 'concentration of management' and a 'hierarchical managerial structure' distinguishing it from the partnership (33, 22), and that directors' decisions could not by themselves impose calls on members (129); he nowhere asks whether directors or managers were exposed to the venture's gains and losses. He rules the question out of scope himself: this book 'deals with the formal institutional structure of managerial structure. It deals only briefly with the structure of share holding: the nominal price of individual shares, minimum and maximum limitations on holding of shares by individuals, voting rights attached to shares, and the actual spreading of shareholding in various types of associations' (23 n 20), and he sets the separation-of-ownership-and-control literature aside as 'less relevant to the earlier setting and the more basic questions in which I am interested' (22 n 19). Inferring coupling from the shareholders' residual claim at LR3 would be filling this column from the column next door."
OF-XXXX-18,chartered_corporation_england,LR3,1,high,analyst-imposed,"Harris 2000, 33, 32, 127, 206",en,ai,partial,none,unreviewed,"SHARED PROPORTIONALLY. 'members shared not only overhead but all business activities of the corporation, that is, all profits and losses' (33). The claim is residual, not fixed, and it is what separates the joint-stock from the regulated corporation, whose members bore their own trading results individually (32). QUALIFICATIONS CARRIED RATHER THAN CODED: 'Even within the realm of corporate finance, corporate loans and preference shares played a role alongside ordinary shares' (127) - fixed claims existed beside the residual one, but as separate instruments held by separate claimants, not as the members' own entitlement; and statutory ceilings on the East India Company's dividends from 1767 (206) are a public-law constraint on distribution, not a change in the basis of the claim."
OF-XXXX-19,chartered_corporation_england,LR4,0,low,analyst-imposed,"Harris 2000, 33, 36, 101",en,ai,partial,none,unreviewed,"NOT POOLED, AND THE CONTRAST IS THE SOURCE'S OWN. Harris treats the mutual association as a distinct form and defines the difference on precisely this question: 'The major difference between mutuals and joint-stock companies was that the owners of mutuals (as their name suggests) were also the consumers or clients' - insurance offices 'in which the owners-insurers were also the insured', building societies 'in which the constructors would also be the residents of the dwellings they built', and loan banking 'in which the owners were to deposit and borrow' (36). In the proprietary joint-stock corporation the members are proprietors, and the risks the entity carries are the venture's, not the members' own separate risks: the Sun 'was based on proprietorship and joint stock, not on mutual principles. The insured persons were not necessarily members' (101). CONFIDENCE LOW AND THE ALTERNATIVE IS STATED FAIRLY: Harris also holds that mutuals 'could be organized under various schemes: as corporations or as unincorporated firms, with or without permanent joint stock' (33-36), so a chartered body could itself be a mutual. The value holds for the PROPRIETARY joint-stock corporation this row scopes, not for every chartered corporation. A maintainer who reads 33-36 as a taxonomy of forms rather than as evidence about this form should recode to .NR, which would carry LR5 with it. Flagged in the notes file."
OF-XXXX-20,chartered_corporation_england,LR5,.NA,.NA,.NA,.NA,.NA,ai,.NA,none,unreviewed,"LR4 is 0, and the vocabulary makes LR5 meaningful only where LR4 is not 0: 'LR5 is .NA wherever LR4 is 0.' There are no pooled baskets whose correlation could be asked about. .NA propagated through confidence, articulation, source_ref and source_lang. THE DEPENDENCE THIS CELL CARRIES IS RECORDED: if LR4 is recoded to .NR on the alternative reading given in its note, this cell becomes .NR and not .NA, on the OF-0791 disposition that .NA here would assert LR4=0."
OF-XXXX-21,chartered_corporation_england,LR6,.NR,.NR,.NR,"Harris 2000, 22 n 19, 23 n 20, 33",en,ai,partial,none,unreviewed,"LR2 is .NR, so applicability is undetermined and this is .NR. .NA would assert that LR2 is 'veiled', which is not held; the vocabulary blocks LR6 only where LR2 is veiled. The underlying silence is LR2's: Harris does not ask whether the corporation's decision-makers were bound to its outcomes, and so cannot say in which direction."
OF-XXXX-22,chartered_corporation_england,MG1,membership,high,analyst-imposed,"Harris 2000, 32-33, 94, 128-129, 147",en,ai,partial,none,unreviewed,"MEMBERSHIP. The claim runs from being a member of a body corporate, not from a contract with it and not from a beneficial interest. The 1733 River Dun act 'united the undertakers into one Company and Copartnership as a Body Politick and Corporate' (94); Harris's contrast between regulated and joint-stock corporations is put throughout in terms of what 'members' of each shared (32-33); and his liability questions are questions about 'shareholders' as members of the corporation (128-129). Contrast the trust-based forms, where entitlement runs through trustees to beneficiaries and 'The property of the company was vested in trustees' (147) - a route this form does not use, which is also the boundary against deed_of_settlement_company."
OF-XXXX-23,chartered_corporation_england,MG2,collective,medium,analyst-imposed,"Harris 2000, 19, 23, 98, 144, 22",en,ai,partial,none,unreviewed,"COLLECTIVE, AND THE VALUE SET CANNOT RECORD WHAT HARRIS THINKS IMPORTANT ABOUT IT - FLAGGED, NOT REPAIRED. Decision-making sits with the members and the organs they constitute: corporations 'had a hierarchical structure, which included heads, officials, members, and assemblies (or at least some of these organs), and a formal decision-making process including the power to make bylaws, to hold internal tribunals, and the like' (23); the 1766 acts specify 'voting rights, assemblies and committees, bylaws, officers' (98); a corporation 'could make bylaws to govern its internal affairs' (19). It is neither founder-fixed nor single-principal, so collective is the only value that fits. THE GAP: managerial hierarchy is ONE OF HARRIS'S FOUR DEFINING FEATURES of the form (22, 110), and what he says distinguishes the corporation is that it had a 'legally enforced arrangement for appointment and delineation of responsibilities of officeholders, and for assemblies, reports, votes, and the like' where the partnership had none (144). MG2's three values record the LOCUS of decision and cannot record a delegated hierarchy under collective ultimate control, so 'collective' loses the feature the source insists on. Recorded here and argued in the notes file; NO characteristic is proposed, per the rule against proposing a repair in the batch that motivates it."
OF-XXXX-24,chartered_corporation_england,MG3,0,medium,analyst-imposed,"Harris 2000, 114, 118, 41, 101",en,ai,partial,none,unreviewed,"NOT RESTRICTED, FOR THE PERIOD THIS ROW CLAIMS. 'every joint-stock corporation was inherently allowed to open public subscriptions, within or outside of the Stock Exchange' (114), and shares moved by simple sale between strangers (118). MG1 is 'membership', so the cell is applicable. TWO COUNTER-INSTANCES ARE RECORDED RATHER THAN AVERAGED AWAY, AND BOTH LIE OUTSIDE OR AT THE EDGE OF THE PERIOD. (i) In the first age of the form, 'The typical charter of a business corporation limited its membership by demanding relatively high membership fees or a significant contribution to the joint stock of the corporation' (41) - a further characteristic that would span if this row began in the sixteenth or seventeenth century. (ii) The Amicable, incorporated by letters patent in 1706, had its letters patent 'limit the number of members to 2,000, and the number of shares per person to three' (101) - a chartered entity with numerically restricted membership, and a mutual. Membership size was fixed by the individual instrument where it was fixed at all; the general position after 1720 is open subscription. Confidence medium for that reason."
OF-XXXX-25,chartered_corporation_england,MG4,state-charter,high,analyst-imposed,"Harris 2000, 17-18, 32, 34-35, 53, 98",en,ai,partial,none,unreviewed,"STATE-CHARTER, AND IT IS THE DEFINING RESTRICTION IN HARRIS'S OWN SUMMARY TABLE, which enters 'Can be formed only by state sanction' against the joint-stock business corporation (Table 1.1, 35). 'by the sixteenth century, an explicit, ex ante and direct authorization by the King became the only mode of incorporation. This authorization was normally given in the form of charter (or letters patent), and, occasionally, by way of Act of Parliament bearing the King's explicit consent, or a combination of an act and a charter' (17). Incorporation was 'an essential component of the King's exclusive and voluntary prerogative to create and grant dignities, jurisdictions, liberties, exemptions, and, in our case, franchises' (18). After the Glorious Revolution 'An act of Parliament, or a charter coupled with an act, became the more common method of forming a company, while incorporation only by charter became rare' (53) - a shift of instrument within one value. Coded analyst-imposed rather than articulated: the instruments name themselves charter, letters patent and act, but 'state-charter' is the census's category, not the tradition's word."
OF-XXXX-26,chartered_corporation_england,FP1,commercial-profit,high,analyst-imposed,"Harris 2000, 32-33, 34-35, 36",en,ai,partial,none,unreviewed,"COMMERCIAL-PROFIT. 'The regulated corporation, like the joint-stock corporation, and unlike earlier corporations, was formed purely for business purposes and aimed at profit maximization' (32); 'The joint-stock corporation, like the regulated corporation and unlike other corporations, aimed at profit maximization' (33). Table 1.1 enters 'Profit' under Aim for the joint-stock business corporation without the partial-conformity marker Harris attaches to its Limited liability entry (34-35). The nonbusiness and nonprofit corporations and the charitable trusts are a separate category and are excluded (36)."
OF-XXXX-27,chartered_corporation_england,FP2,P,medium,analyst-imposed,"Harris 2000, 18, 41, 52, 113, 203, 287",en,ai,partial,none,unreviewed,"STRUCTURAL HALF, AND THE HALVES ARE THE TWO LIMBS OF THE CHARACTERISTIC'S OWN WORDING: an exclusive right or franchise, held AS PROPERTY. Franchise: incorporation itself is a franchise in the King's gift (18), and chartered corporations held exclusive rights of several kinds - 'on overseas territories, over specified business activity (such as note issuing), and on the corporate form in a given sector (marine insurance), as well as natural monopolies (infrastructure and utilities)' (113). As property: denied in terms. 'Incorporation itself was not considered a protectable property right. The State could, at will, withhold an incorporation franchise which, in many cases, was of limited duration'; and 'Like incorporation, monopoly was not considered protected private property. . . . Throughout our period, monopolies were granted and abolished, either directly or by inference' (113). THE ALTERNATIVE READING, STATED FAIRLY: read as 'holds a trade monopoly', the value would be heterogeneous across instances rather than half-present - 'monopoly became an almost inherent characteristic of the early business corporations' (41), but 'monopoly privileges were no longer an essential part of every incorporation' after the 1680s (52), 'By 1800, most of the monopolies held by corporations were a thing of the past' (203), and the East India, Bank of England and marine insurance monopolies were abolished between 1813 and 1833 (287). Heterogeneity across instances is not P, which is why the value is taken on the property limb and not on that one."
OF-XXXX-28,chartered_corporation_england,FP3,1,medium,analyst-imposed,"Harris 2000, 145-146, 128 n 38, 129, 131, 30",en,ai,partial,none,unreviewed,"STATUS ARBITRAGE, AND THE LEAD EVIDENCE IS NOT THE LIABILITY MATERIAL. At 146 the corporate form defeated two status-based disabilities outright: the Elizabethan Statute of Artificers apprenticeship requirement, where it was argued that all members of an association including passive investors had to have served apprenticeships - 'Such an argument could not have been raised against a business corporation, where the qualifications of the shareholders were not relevant to the status of the corporation vis-a-vis the Statute of Artificers'; and the proviso voiding patents assigned to more than five persons, from which 'Corporations, on the other hand, were not subject to such limitations because they were seen as legal entities separated from their members'. Excise rate turned on the same point at 145. CORROBORATION FROM THE STATUS OF THE MEMBER: an act of 1662 exempted shareholders of the East India, Guiney and Royal Fishing companies from bankruptcy procedures and was 'intended to protect noblemen, gentlemen and persons of quality' (128 n 38); by the end of the eighteenth century 'holding shares in a business corporation did not, in itself, turn a nontrader into a trader, subjecting him or her to bankruptcy law' (129), the trader line being the one that decided whether landed property was reachable and whether a man faced public examination and criminal prosecution (131). Contrast the sleeping partner, whose motive included avoiding 'the social stigma of the business' (30). Confidence medium: the value is assembled from four passages, none of which Harris frames as a single feature."
